,State name,District name,Block name,Gram panchayat,Village name,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Sample collection,Sample tested,Lab name agg,LPCD_Weighted,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,Total HH Connection,Connection Coverage (%),Free residual Chlorine (mg/l),Total Alkalinity (as Calcium Carbonate) (mg/l),Turbidity (NTU),TDS (mg/l),Fluoride (as F) (mg/l),Colour (Hazen units),Total Hardness (As CaCO3) (mg/l),Sulphate (as SO4) (mg/l),Total coliform (CFU/ 100 ml),Iron (As Fe) (mg/l),E. coli (CFU/100 ml),Odour (NA),Chloride (as Cl) (mg/l),Nitrate (as NO3) (mg/l),pH (NA),Arsenic (mg/l),Number_Schemes,Total expenditure,Central expenditure,State expenditure,House connections planned,House connections provided,Scheme Type,Ground Water,Ground water & Surface water (Both),Surface Water,Bulk water supply,New scheme,retrofit,Completed,Ongoing,Lab Testing,FTK Testing,WQ Status,HGJ Status,Free residual Chlorine (mg/l)_binary,Total Alkalinity (as Calcium Carbonate) (mg/l)_binary,Turbidity (NTU)_binary,TDS (mg/l)_binary,Fluoride (as F) (mg/l)_binary,Colour (Hazen units)_binary,Total Hardness (As CaCO3) (mg/l)_binary,Sulphate (as SO4) (mg/l)_binary,Total coliform (CFU/ 100 ml)_binary,Iron (As Fe) (mg/l)_binary,E. coli (CFU/100 ml)_binary,Odour (NA)_binary,Chloride (as Cl) (mg/l)_binary,Nitrate (as NO3) (mg/l)_binary,pH (NA)_binary,Arsenic (mg/l)_binary,Sum_Complaint,Sum_PComplaint,Sum_NComplaint,Quality_Complaince
0,Karnataka,TUMAKURU,Chiknayakanhalli,DODDAYANNAGERE,CHIKKAYANNAGERE,162049.0,Chikkayannegere,610040.0,610040,Chikkayannegere,29/08/2023,31/08/2023,['RDW&SD Water Quality Testing Lab Tiptur'],39.4,1837,265,36,1536,469,329,70.15,,210.33,0.5,442.83,1.18,1.0,237.01,17.71,,0.05,,0.0,85.94,9.58,7.7,,2.0,0.15,0.08,0.08,0.0,0.0,SVS and MVS,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,Unsafe,,Undetermined,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
1,Karnataka,TUMAKURU,Tiptur,GUNGURUMELE,BIDARAKERE,163888.0,Bidarakere,612177.0,612177,Bidarakere,28/07/2023,29/07/2023,['RDW&SD Water Quality Testing Lab Tiptur'],42.0,572,178,9,385,151,145,96.03,,309.0,0.5,596.5,0.49,1.5,327.56,23.86,,0.02,,0.0,131.75,9.72,7.27,,2.0,515.96,0.5,515.47,0.0,0.0,SVS and MVS,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,Safe,Safe,Safe,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
2,Karnataka,TUMAKURU,Tiptur,GUNGURUMELE,MARAGONDANAHALLI,163886.0,Maragondanahalli,612176.0,612176,Maragondanahalli,28/07/2023,29/07/2023,['RDW&SD Water Quality Testing Lab Tiptur'],56.82,447,91,5,351,124,120,96.77,,388.0,0.5,800.0,0.59,1.0,405.04,32.0,,0.02,,0.0,159.79,20.93,7.77,,1.0,0.0,0.0,0.0,0.0,0.0,SVS and MVS,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Safe,,Undetermined,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
3,Karnataka,TUMAKURU,Tiptur,GUNGURUMELE,G.MALLENAHALLI,163883.0,J.Mallenahalli,612175.0,612175,G.Mallenahalli,28/07/2023,29/07/2023,['RDW&SD Water Quality Testing Lab Tiptur'],61.79,725,47,0,678,223,176,78.92,,362.57,0.47,764.43,0.61,1.57,395.14,31.12,,0.07,,0.0,148.0,9.39,7.74,,2.0,47.13,22.97,24.17,153.0,115.0,SVS and MVS,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,Safe,Safe,Safe,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
4,Karnataka,TUMAKURU,Tiptur,GUNGURUMELE,KALLAHALLI,163887.0,Kallahalli,612188.0,612127,Kallahalli,28/07/2023,29/07/2023,['RDW&SD Water Quality Testing Lab Tiptur'],43.1,252,0,0,252,77,34,44.16,,254.0,0.5,527.0,0.6,1.0,266.76,21.08,,0.02,,0.0,103.18,6.28,7.6,,10.0,29.0,2.51,26.49,77.0,0.0,SVS,10.0,0.0,0.0,0.0,5.0,5.0,8.0,2.0,Safe,,Undetermined,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
5,Karnataka,TUMAKURU,Tiptur,GUNGURUMELE,GUNGURUMALE,163882.0,Gungaramale,612190.0,612190,Gungaramale,28/07/2023,29/07/2023,['RDW&SD Water Quality Testing Lab Tiptur'],58.81,1692,91,0,1601,369,369,100.0,,355.43,0.49,751.29,0.48,1.07,386.74,30.28,,0.09,,0.0,143.39,13.27,7.75,,2.0,89.44,44.72,44.72,271.0,260.0,SVS and MVS,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,Safe,Safe,Safe,Certified,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Pass
6,Karnataka,TUMAKURU,Tiptur,GUNGURUMELE,KASAVANAHALLI,163884.0,Kasavanahalli,612173.0,612173,Kasavanahalli,28/07/2023,29/07/2023,['RDW&SD Water Quality Testing Lab Tiptur'],55.44,285,5,0,280,116,94,81.03,,376.0,0.5,758.5,0.64,1.0,396.22,30.34,,0.02,,0.0,144.9,3.64,7.82,,1.0,28.58,14.29,14.29,72.0,94.0,SVS and MVS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Safe,,Undetermined,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
7,Karnataka,TUMAKURU,Tiptur,GUNGURUMELE,MADIHALLI,163889.0,Madihalli,612172.0,612071,Madihalli,28/07/2023,29/07/2023,['RDW&SD Water Quality Testing Lab Tiptur'],24.7,449,0,0,449,116,104,89.66,,242.0,0.47,583.67,0.56,2.33,308.38,25.38,,0.05,,0.0,111.35,14.08,7.69,,1.0,0.0,0.0,0.0,0.0,0.0,SVS and MVS,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Safe,,Undetermined,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
8,Karnataka,TUMAKURU,Koratagere,NILAGONDANAHALLI,DODDAPALANAHALLI,162638.0,Doddapalanahalli,611157.0,611157,Doddapalanahalli,28/07/2023,28/08/2023,['RDW&SD Water Quality Testing Lab Madhugiri'],37.87,1970,289,273,1408,439,314,71.53,,292.73,0.5,573.33,1.32,5.0,372.56,28.58,,0.08,,0.0,110.67,14.34,7.42,,28.0,51.96,3.4399999999999995,48.51,320.0,314.0,SVS,28.0,0.0,0.0,0.0,18.0,10.0,26.0,2.0,Safe,,Undetermined,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
9,Karnataka,TUMAKURU,Koratagere,NILAGONDANAHALLI,HONNENAHALLI,162639.0,Honnenahalli,611158.0,611158,Honnenahalli,28/07/2023,25/08/2023,['RDW&SD Water Quality Testing Lab Madhugiri'],34.89,174,134,1,39,40,33,82.5,,400.02,0.52,672.0,1.43,5.0,423.01,35.62,,0.08,,0.0,150.41,21.19,7.43,,16.0,53.2,13.12,40.09,40.0,33.0,SVS,16.0,0.0,0.0,0.0,7.0,9.0,15.0,1.0,Safe,,Undetermined,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
10,Karnataka,TUMAKURU,Koratagere,NILAGONDANAHALLI,HOSAKOTTE,162640.0,Hoskote,611159.0,611159,Hoskote,28/07/2023,28/08/2023,['RDW&SD Water Quality Testing Lab Madhugiri'],29.74,909,171,86,652,176,151,85.8,,313.8,0.5,557.5,0.95,5.0,355.34,29.12,,0.08,,0.0,109.96,5.36,7.43,,13.0,40.47,10.63,29.87,188.0,64.0,SVS,13.0,0.0,0.0,0.0,7.0,6.0,12.0,1.0,Safe,Safe,Safe,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
11,Karnataka,TUMAKURU,Madhugiri,MIDIGESHI,MIDAGESHI,163248.0,Medigeshi,610685.0,610685,Medigeshi,12/07/2023,28/08/2023,['RDW&SD Water Quality Testing Lab Madhugiri'],32.26,2666,861,287,1518,653,252,38.59,,267.07,0.5,500.14,1.2,5.0,302.0,26.0,,0.09,,0.0,94.71,20.53,7.45,,1.0,0.0,0.0,0.0,0.0,0.0,SVS and MVS,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Safe,Safe,Safe,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
12,Karnataka,TUMAKURU,Madhugiri,MIDIGESHI,BENAKANAHALLI,163250.0,Benakanahalli,610675.0,610675,Benakanahalli,12/07/2023,28/08/2023,['RDW&SD Water Quality Testing Lab Madhugiri'],40.96,481,151,0,330,118,71,60.17,,509.15,0.5,1145.0,1.06,5.0,595.0,59.0,,0.08,,0.0,219.8,51.15,7.03,,1.0,1.12,0.0,1.12,0.0,0.0,SVS and MVS,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Unsafe,,Undetermined,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,-1,11,4,1,Not Available
13,Karnataka,TUMAKURU,Madhugiri,MIDIGESHI,HANUMANTHAPURA,163249.0,Hanumanthapura,610693.0,610981,Hanumanthapura,12/07/2023,28/08/2023,['RDW&SD Water Quality Testing Lab Madhugiri'],36.97,1869,337,290,1242,485,316,65.15,,300.42,0.5,583.33,1.38,5.0,352.78,39.33,,0.09,,0.0,117.44,33.74,7.41,,29.0,123.43,57.31999999999999,66.18,522.0,316.0,SVS,29.0,0.0,0.0,0.0,16.0,13.0,25.0,4.0,Safe,,Undetermined,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
14,Karnataka,TUMAKURU,Madhugiri,MIDIGESHI,NALLEKAMANAHALLY,163251.0,Nallekamanahalli],610683.0,610683,Nallekamanahalli],13/07/2023,28/08/2023,['RDW&SD Water Quality Testing Lab Madhugiri'],47.96,1347,346,22,979,292,164,56.16,,283.4,0.5,450.0,1.35,5.0,357.0,24.8,,0.09,,0.0,84.8,24.98,7.42,,25.0,52.78,14.52,38.27,317.0,164.0,SVS,25.0,0.0,0.0,0.0,13.0,12.0,21.0,4.0,Safe,,Undetermined,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
15,Karnataka,TUMAKURU,Kunigal,KOTTAGERE,MAVINAKATTE,162789.0,Mavinakatte,612538.0,612538,Mavinakatte,28/07/2023,31/07/2023,['RDW&SD Water Quality Testing Lab Tumakuru'],35.88,701,120,0,581,216,216,100.0,,373.57,0.51,883.43,0.49,1.0,505.29,32.57,,0.0,,0.0,179.29,17.91,6.98,,5.0,6.54,0.2299999999999999,6.32,11.0,10.0,SVS and MVS,5.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,Safe,,Undetermined,Completed,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
16,Karnataka,TUMAKURU,Kunigal,KOTTAGERE,NEELATHAHALLI,162788.0,Nilathahalli,612537.0,612537,Nilathahalli,28/07/2023,31/07/2023,['RDW&SD Water Quality Testing Lab Tumakuru'],32.51,891,151,22,718,241,230,95.44,,314.33,0.5,604.0,0.33,1.0,313.33,16.33,,0.0,,0.0,119.17,17.45,7.21,,1.0,1.0,0.0,1.0,0.0,0.0,SVS and MVS,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Safe,,Undetermined,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
17,Karnataka,TUMAKURU,Kunigal,KOTTAGERE,KOTTAGERE,162783.0,Kothagere,612529.0,612529,Kothagere,28/07/2023,31/07/2023,['RDW&SD Water Quality Testing Lab Tumakuru'],21.13,2118,169,7,1942,754,267,35.41,,404.43,0.53,841.71,0.44,1.0,442.43,27.43,,0.0,,0.0,163.57,14.71,7.13,,2.0,0.32,0.1699999999999999,0.1699999999999999,0.0,0.0,SVS and MVS,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,Safe,Safe,Safe,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
18,Karnataka,TUMAKURU,Tiptur,KARADI,SIDLEHALLI,163917.0,Sidlehalli,612046.0,612046,Sidlehalli,25/05/2023,26/05/2023,['RDW&SD Water Quality Testing Lab Tiptur'],41.29,534,40,1,493,226,27,11.95,0.0,307.0,0.5,626.5,0.42,1.0,316.78,25.06,,0.05,,0.0,118.6,11.96,7.66,,16.0,55.14999999999999,15.239999999999998,39.91,226.0,27.0,SVS,16.0,0.0,0.0,0.0,10.0,6.0,14.0,2.0,Safe,,Undetermined,Ongoing,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,13,3,0,Not Available
19,Karnataka,TUMAKURU,Tiptur,KARADI,ANNAMALLENAHALLI,163916.0,Annamallenahalli,612020.0,612020,Annamallenahalli,25/05/2023,26/05/2023,['RDW&SD Water Quality Testing Lab Tiptur'],35.62,664,24,203,437,179,130,72.63,0.0,262.67,0.5,548.67,0.42,1.0,271.37,132.6,,0.04,,0.0,106.52,9.08,7.89,,1.0,3.96,0.0,3.96,0.0,0.0,SVS and MVS,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Safe,,Undetermined,Ongoing,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,13,3,0,Not Available
20,Karnataka,TUMAKURU,Tiptur,KARADI,NYAKENAHALLI,163922.0,Nyakenahalli,612047.0,612047,Nyakenahalli,25/05/2023,26/05/2023,['RDW&SD Water Quality Testing Lab Tiptur'],33.67,420,0,0,420,207,76,36.71,0.0,338.4,0.5,649.6,0.66,1.0,357.0,24.64,,0.06,,0.0,125.07,15.48,7.79,,12.0,27.42,14.64,12.79,279.0,76.0,SVS,12.0,0.0,0.0,0.0,7.0,5.0,10.0,2.0,Safe,,Undetermined,Ongoing,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,13,3,0,Not Available
21,Karnataka,TUMAKURU,Tiptur,KARADI,RAMENAHALLI,163915.0,Ramenahalli,612048.0,612048,Ramenahalli,26/05/2023,29/05/2023,['RDW&SD Water Quality Testing Lab Tiptur'],48.36,709,18,0,691,174,89,51.15,0.0,271.0,0.5,605.0,0.6,1.0,213.94,24.2,,0.05,,0.0,114.16,8.96,7.71,,2.0,0.12,0.06,0.06,0.0,0.0,SVS and MVS,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,Safe,,Undetermined,Ongoing,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,13,3,0,Not Available
22,Karnataka,TUMAKURU,Tiptur,KARADI,BOMMENAHALLI,163920.0,Bommenahalli,612081.0,612081,Bommenahalli,26/05/2023,29/05/2023,['RDW&SD Water Quality Testing Lab Tiptur'],31.55,827,97,28,702,99,0,0.0,0.0,320.0,0.5,677.4,0.57,1.0,324.03,27.1,,0.05,,0.0,128.62,16.08,7.73,,11.0,28.18,0.07,28.12,99.0,0.0,SVS,11.0,0.0,0.0,0.0,7.0,4.0,10.0,1.0,Safe,,Undetermined,Ongoing,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,13,3,0,Not Available
23,Karnataka,TUMAKURU,Tiptur,KARADI,PEDDIHALLI,163921.0,Peddihalli,612082.0,612082,Peddihalli,26/05/2023,29/05/2023,['RDW&SD Water Quality Testing Lab Tiptur'],30.11,385,253,0,132,85,31,36.47,0.0,300.67,0.5,610.0,0.55,1.0,285.22,24.4,,0.05,,0.0,116.78,13.92,7.73,,9.0,32.26,10.18,22.07,85.0,31.0,SVS,9.0,0.0,0.0,0.0,4.0,5.0,8.0,1.0,Safe,,Undetermined,Ongoing,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,13,3,0,Not Available
24,Karnataka,TUMAKURU,Sira,HOSAHALLI,KYADIGUNTE,163511.0,Kyadikunte,610283.0,610283,Kyadikunte,07/03/2023,06/04/2023,['RDW&SD Water Quality Testing Lab Madhugiri'],26.37,3007,808,66,2133,583,216,37.05,,319.71,0.5,508.86,1.25,5.0,350.86,26.71,,0.08,,0.0,89.14,16.28,7.23,,12.0,22.59,2.16,20.43,116.0,216.0,SVS,12.0,0.0,0.0,0.0,5.0,7.0,10.0,2.0,Safe,,Undetermined,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
25,Karnataka,TUMAKURU,Sira,HOSAHALLI,HOSAHALLI,163515.0,Hosahalli,610292.0,610331,Hosahalli,07/03/2023,06/04/2023,['RDW&SD Water Quality Testing Lab Madhugiri'],28.93,2632,327,14,2291,594,219,36.87,,245.0,0.5,361.0,1.2,5.0,273.5,19.0,,0.08,,0.0,64.5,2.22,7.01,,4.0,2.25,0.16,2.1,0.0,0.0,SVS and MVS,4.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,Safe,Safe,Safe,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
26,Karnataka,TUMAKURU,Sira,HOSAHALLI,GOPIKUNTE,163514.0,Gopikunte,610291.0,610291,Gopikunte,07/03/2023,05/04/2023,['RDW&SD Water Quality Testing Lab Madhugiri'],33.75,835,374,28,433,166,142,85.54,,417.0,0.5,524.0,1.47,5.0,485.0,32.0,,0.08,,0.0,138.0,3.18,7.26,,10.0,54.87,11.760000000000002,43.11,149.0,142.0,SVS,10.0,0.0,0.0,0.0,3.0,7.0,8.0,2.0,Safe,,Undetermined,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
27,Karnataka,TUMAKURU,Sira,CHINNENAHALLI,JAVANAHALLI,163652.0,Javanahalli,610501.0,610501,Javanahalli,10/03/2023,05/04/2023,['RDW&SD Water Quality Testing Lab Madhugiri'],49.01,310,1,7,302,74,6,8.11,,325.0,0.5,585.0,1.17,5.0,352.0,33.0,,0.08,,0.0,115.0,1.0,7.18,,1.0,2.5,0.0,2.5,6.0,6.0,SVS and MVS,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Safe,,Undetermined,Ongoing,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,12,4,0,Not Available
